98000, 48414.6
98037.5, 48418.5
98097.5, 48422.6
98086.6, 48474.1
98104.9, 48481.8
98089.2, 48527
98139.5, 48544
98155.1, 48498.1
98113.1, 48485.3
98115.4, 48476.3
98164.9, 48490
98217, 48504.9
98213.7, 48516
98207.8, 48524.3
98192.6, 48541.5
98185.2, 48532.9
98200.2, 48514
98202.1, 48511.6
98169.8, 48500.9
98163, 48499.4
98143.8, 48558.9
98106.1, 48543.2
98081.4, 48536
98069.2, 48515.4
98059.6, 48519.8
98051.5, 48506
98056.8, 48501.3
98047, 48493.5
98016.6, 48489.3
98019.5, 48472.5
98000, 48469.2
97976.4, 48466.5
97975.9, 48473.8
97959.3, 48473.7
97955.9, 48421
97969, 48421.1
97970.4, 48414
